InstanceType,vCPU,Memory,GPUType,GPUCount,GPUMemory
r6in.metal,128,1048576,,,
m6gd.xlarge,4,16384,,,
r6id.16xlarge,64,524288,,,
r6id.2xlarge,8,65536,,,
m5zn.6xlarge,24,98304,,,
c6in.24xlarge,96,196608,,,
c7g.8xlarge,32,65536,,,
hpc6id.32xlarge,64,1048576,,,
c6i.4xlarge,16,32768,,,
x2iedn.2xlarge,8,262144,,,
x2gd.metal,64,1048576,,,
r6id.xlarge,4,32768,,,
i3en.12xlarge,48,393216,,,
r6a.metal,192,1572864,,,
r5a.xlarge,4,32768,,,
m6gd.medium,1,4096,,,
m7g.4xlarge,16,65536,,,
m7g.large,2,8192,,,
t2.2xlarge,8,32768,,,
x1e.2xlarge,8,249856,,,
is4gen.xlarge,4,24576,,,
i4g.xlarge,4,32768,,,
r6gd.xlarge,4,32768,,,
m5a.2xlarge,8,32768,,,
t4g.nano,2,512,,,
m5n.16xlarge,64,262144,,,
m6gd.12xlarge,48,196608,,,
r6g.16xlarge,64,524288,,,
im4gn.2xlarge,8,32768,,,
m6idn.large,2,8192,,,
c5ad.24xlarge,96,196608,,,
m6id.12xlarge,48,196608,,,
z1d.2xlarge,8,65536,,,
m6id.2xlarge,8,32768,,,
c6a.16xlarge,64,131072,,,
m5dn.2xlarge,8,32768,,,
m5.8xlarge,32,131072,,,
m6idn.12xlarge,48,196608,,,
r6g.medium,1,8192,,,
r6g.large,2,16384,,,
c6i.large,2,4096,,,
m6a.2xlarge,8,32768,,,
c4.4xlarge,16,30720,,,
r6a.xlarge,4,32768,,,
im4gn.8xlarge,32,131072,,,
r5ad.24xlarge,96,786432,,,
c6i.8xlarge,32,65536,,,
c6g.16xlarge,64,131072,,,
c5ad.4xlarge,16,32768,,,
c6a.24xlarge,96,196608,,,
r6i.xlarge,4,32768,,,
r6idn.16xlarge,64,524288,,,
g3.16xlarge,64,499712,M60,4.0,8192.0
m6id.xlarge,4,16384,,,
m5dn.12xlarge,48,196608,,,
m5ad.12xlarge,48,196608,,,
r6idn.2xlarge,8,65536,,,
m6a.large,2,8192,,,
x2gd.8xlarge,32,524288,,,
m6gd.4xlarge,16,65536,,,
r6gd.2xlarge,8,65536,,,
d2.8xlarge,36,249856,,,
m5dn.large,2,8192,,,
r6gd.medium,1,8192,,,
c6a.48xlarge,192,393216,,,
x1e.8xlarge,32,999424,,,
m5d.8xlarge,32,131072,,,
r6g.8xlarge,32,262144,,,
r3.large,2,15360,,,
r5a.2xlarge,8,65536,,,
c5n.2xlarge,8,21504,,,
r6a.2xlarge,8,65536,,,
i3en.3xlarge,12,98304,,,
is4gen.4xlarge,16,98304,,,
r6in.24xlarge,96,786432,,,
c6in.xlarge,4,8192,,,
r5dn.8xlarge,32,262144,,,
m4.4xlarge,16,65536,,,
x1e.32xlarge,128,3997696,,,
c6id.8xlarge,32,65536,,,
m5a.16xlarge,64,262144,,,
m5zn.2xlarge,8,32768,,,
x2iedn.xlarge,4,131072,,,
inf2.48xlarge,192,786432,,,
c4.8xlarge,36,61440,,,
i2.2xlarge,8,62464,,,
c6gn.16xlarge,64,131072,,,
m6i.large,2,8192,,,
r4.16xlarge,64,499712,,,
i4i.16xlarge,64,524288,,,
m5d.xlarge,4,16384,,,
m5a.4xlarge,16,65536,,,
c5d.large,2,4096,,,
i3en.24xlarge,96,786432,,,
c6i.32xlarge,128,262144,,,
r6in.12xlarge,48,393216,,,
r5n.12xlarge,48,393216,,,
r5.24xlarge,96,786432,,,
c5ad.12xlarge,48,98304,,,
c6gd.metal,64,131072,,,
c6in.12xlarge,48,98304,,,
c5a.4xlarge,16,32768,,,
c5ad.16xlarge,64,131072,,,
m6a.metal,192,786432,,,
r6idn.xlarge,4,32768,,,
m6g.xlarge,4,16384,,,
m6in.32xlarge,128,524288,,,
inf2.8xlarge,32,131072,,,
c5n.large,2,5376,,,
m5.xlarge,4,16384,,,
im4gn.xlarge,4,16384,,,
t3.xlarge,4,16384,,,
i4i.metal,128,1048576,,,
c5.xlarge,4,8192,,,
m5ad.large,2,8192,,,
r5b.metal,96,786432,,,
a1.large,2,4096,,,
c6gn.xlarge,4,8192,,,
m5ad.4xlarge,16,65536,,,
i4g.large,2,16384,,,
m6id.32xlarge,128,524288,,,
c6id.large,2,4096,,,
r3.8xlarge,32,249856,,,
m5dn.xlarge,4,16384,,,
inf1.xlarge,4,8192,,,
d3.8xlarge,32,262144,,,
r6a.32xlarge,128,1048576,,,
r5ad.8xlarge,32,262144,,,
m5d.metal,96,393216,,,
c7g.xlarge,4,8192,,,
r5a.12xlarge,48,393216,,,
m5ad.8xlarge,32,131072,,,
m5.12xlarge,48,196608,,,
r5ad.12xlarge,48,393216,,,
c6i.2xlarge,8,16384,,,
t3a.2xlarge,8,32768,,,
x2idn.24xlarge,96,1572864,,,
r5n.4xlarge,16,131072,,,
c6g.12xlarge,48,98304,,,
r5a.16xlarge,64,524288,,,
c7g.4xlarge,16,32768,,,
r7g.metal,64,524288,,,
r6i.24xlarge,96,786432,,,
c5.4xlarge,16,32768,,,
r6id.12xlarge,48,393216,,,
r6a.12xlarge,48,393216,,,
c6id.24xlarge,96,196608,,,
t4g.medium,2,4096,,,
m5.metal,96,393216,,,
m7g.12xlarge,48,196608,,,
t3.2xlarge,8,32768,,,
c5n.4xlarge,16,43008,,,
m5ad.2xlarge,8,32768,,,
c5a.12xlarge,48,98304,,,
g4ad.2xlarge,8,32768,Radeon Pro V520,1.0,8192.0
r6in.large,2,16384,,,
m6idn.4xlarge,16,65536,,,
m6gd.metal,64,262144,,,
z1d.xlarge,4,32768,,,
c6g.xlarge,4,8192,,,
m6in.12xlarge,48,196608,,,
g4ad.4xlarge,16,65536,Radeon Pro V520,1.0,8192.0
r5b.12xlarge,48,393216,,,
r6idn.8xlarge,32,262144,,,
m5.24xlarge,96,393216,,,
x1.16xlarge,64,999424,,,
r5a.large,2,16384,,,
r6gd.large,2,16384,,,
u-3tb1.56xlarge,224,3145728,,,
r6idn.24xlarge,96,786432,,,
i4g.8xlarge,32,262144,,,
c6i.24xlarge,96,196608,,,
c5d.2xlarge,8,16384,,,
i4i.4xlarge,16,131072,,,
r7g.medium,1,8192,,,
g4dn.metal,96,393216,T4,8.0,16384.0
m5d.large,2,8192,,,
c5d.12xlarge,48,98304,,,
c6in.16xlarge,64,131072,,,
a1.medium,1,2048,,,
t4g.2xlarge,8,32768,,,
m5dn.8xlarge,32,131072,,,
m5zn.large,2,8192,,,
d2.2xlarge,8,62464,,,
g4ad.8xlarge,32,131072,Radeon Pro V520,2.0,8192.0
x2gd.4xlarge,16,262144,,,
c7g.16xlarge,64,131072,,,
t3a.small,2,2048,,,
m6i.8xlarge,32,131072,,,
p2.8xlarge,32,499712,K80,8.0,12288.0
m5d.16xlarge,64,262144,,,
m6i.24xlarge,96,393216,,,
m6in.16xlarge,64,262144,,,
m6g.metal,64,262144,,,
r6id.4xlarge,16,131072,,,
c6gn.4xlarge,16,32768,,,
c6a.32xlarge,128,262144,,,
m6in.24xlarge,96,393216,,,
g4dn.12xlarge,48,196608,T4,4.0,16384.0
r6i.4xlarge,16,131072,,,
c6gn.12xlarge,48,98304,,,
m5zn.3xlarge,12,49152,,,
t3a.medium,2,4096,,,
r5n.16xlarge,64,524288,,,
r7g.xlarge,4,32768,,,
c4.large,2,3840,,,
r5b.xlarge,4,32768,,,
c5a.2xlarge,8,16384,,,
r6a.8xlarge,32,262144,,,
m6idn.xlarge,4,16384,,,
d3.xlarge,4,32768,,,
r6id.32xlarge,128,1048576,,,
r5dn.metal,96,786432,,,
r6gd.metal,64,524288,,,
m5n.12xlarge,48,196608,,,
inf1.6xlarge,24,49152,,,
g3.4xlarge,16,124928,M60,1.0,8192.0
r5.large,2,16384,,,
r5ad.large,2,16384,,,
c6gn.medium,1,2048,,,
c6in.8xlarge,32,65536,,,
c5.12xlarge,48,98304,,,
u-6tb1.56xlarge,224,6291456,,,
m6i.metal,128,524288,,,
t2.micro,1,1024,,,
r6a.48xlarge,192,1572864,,,
i4i.2xlarge,8,65536,,,
c6gd.16xlarge,64,131072,,,
r5dn.large,2,16384,,,
x2gd.2xlarge,8,131072,,,
c5d.4xlarge,16,32768,,,
c6in.2xlarge,8,16384,,,
r3.4xlarge,16,124928,,,
r5b.2xlarge,8,65536,,,
g3.8xlarge,32,249856,M60,2.0,8192.0
c6i.16xlarge,64,131072,,,
m6a.4xlarge,16,65536,,,
r5b.4xlarge,16,131072,,,
r5.metal,96,786432,,,
r6g.12xlarge,48,393216,,,
m6in.metal,128,524288,,,
r5dn.xlarge,4,32768,,,
m6g.large,2,8192,,,
c6a.8xlarge,32,65536,,,
r6g.4xlarge,16,131072,,,
r6id.24xlarge,96,786432,,,
c6a.12xlarge,48,98304,,,
m6i.16xlarge,64,262144,,,
d3.2xlarge,8,65536,,,
m5n.large,2,8192,,,
r5d.large,2,16384,,,
c6g.large,2,4096,,,
r6gd.4xlarge,16,131072,,,
c5a.24xlarge,96,196608,,,
x2gd.xlarge,4,65536,,,
a1.xlarge,4,8192,,,
inf1.2xlarge,8,16384,,,
x2gd.16xlarge,64,1048576,,,
mac1.metal,12,32768,,,
c5.24xlarge,96,196608,,,
r7g.2xlarge,8,65536,,,
m6idn.32xlarge,128,524288,,,
c6id.16xlarge,64,131072,,,
x2iedn.metal,128,4194304,,,
r5b.large,2,16384,,,
r5b.24xlarge,96,786432,,,
r5d.xlarge,4,32768,,,
u-12tb1.112xlarge,448,12582912,,,
h1.2xlarge,8,32768,,,
i4g.2xlarge,8,65536,,,
m4.large,2,8192,,,
c5n.9xlarge,36,98304,,,
m7g.8xlarge,32,131072,,,
i4g.16xlarge,64,524288,,,
h1.8xlarge,32,131072,,,
m4.xlarge,4,16384,,,
c5ad.xlarge,4,8192,,,
m5n.8xlarge,32,131072,,,
r6in.32xlarge,128,1048576,,,
r5.4xlarge,16,131072,,,
inf2.24xlarge,96,393216,,,
r5a.4xlarge,16,131072,,,
m6g.4xlarge,16,65536,,,
x2gd.medium,1,16384,,,
p4d.24xlarge,96,1179648,A100,8.0,40960.0
p3.2xlarge,8,62464,V100,1.0,16384.0
i4g.4xlarge,16,131072,,,
c5a.xlarge,4,8192,,,
c5d.24xlarge,96,196608,,,
m6gd.16xlarge,64,262144,,,
t4g.large,2,8192,,,
t3.large,2,8192,,,
t3.medium,2,4096,,,
mac2.metal,8,16384,,,
c6gd.xlarge,4,8192,,,
r5d.4xlarge,16,131072,,,
m7g.16xlarge,64,262144,,,
t2.large,2,8192,,,
r5.16xlarge,64,524288,,,
r3.2xlarge,8,62464,,,
m5d.24xlarge,96,393216,,,
r5d.8xlarge,32,262144,,,
r6idn.large,2,16384,,,
m6g.16xlarge,64,262144,,,
c5.metal,96,196608,,,
r5dn.12xlarge,48,393216,,,
c4.2xlarge,8,15360,,,
m5a.8xlarge,32,131072,,,
m5zn.12xlarge,48,196608,,,
m6idn.metal,128,524288,,,
c7g.2xlarge,8,16384,,,
c5d.18xlarge,72,147456,,,
h1.16xlarge,64,262144,,,
t3.micro,2,1024,,,
t3.nano,2,512,,,
r6in.8xlarge,32,262144,,,
t4g.small,2,2048,,,
r6id.large,2,16384,,,
c7g.metal,64,131072,,,
m6g.12xlarge,48,196608,,,
m5n.metal,96,393216,,,
m7g.xlarge,4,16384,,,
r5d.24xlarge,96,786432,,,
m4.16xlarge,64,262144,,,
r5d.2xlarge,8,65536,,,
i2.4xlarge,16,124928,,,
t4g.xlarge,4,16384,,,
m4.2xlarge,8,32768,,,
r6idn.4xlarge,16,131072,,,
i2.xlarge,4,31232,,,
m6i.4xlarge,16,65536,,,
m6id.metal,128,524288,,,
r4.xlarge,4,31232,,,
r5b.16xlarge,64,524288,,,
m6idn.24xlarge,96,393216,,,
x1e.16xlarge,64,1998848,,,
x2gd.12xlarge,48,786432,,,
c7g.medium,1,2048,,,
r5d.16xlarge,64,524288,,,
i3.large,2,15616,,,
x2iedn.4xlarge,16,524288,,,
c5n.metal,72,196608,,,
c4.xlarge,4,7680,,,
t4g.micro,2,1024,,,
c6in.large,2,4096,,,
r5.xlarge,4,32768,,,
r6i.12xlarge,48,393216,,,
c6a.metal,192,393216,,,
m5ad.24xlarge,96,393216,,,
r7g.4xlarge,16,131072,,,
r5n.2xlarge,8,65536,,,
t2.medium,2,4096,,,
r5n.24xlarge,96,786432,,,
r6gd.8xlarge,32,262144,,,
g4dn.xlarge,4,16384,T4,1.0,16384.0
m6in.4xlarge,16,65536,,,
x2idn.metal,128,2097152,,,
m6a.16xlarge,64,262144,,,
r6a.4xlarge,16,131072,,,
r3.xlarge,4,31232,,,
a1.metal,16,32768,,,
c5n.18xlarge,72,196608,,,
m6g.8xlarge,32,131072,,,
h1.4xlarge,16,65536,,,
m6in.large,2,8192,,,
m6idn.2xlarge,8,32768,,,
inf2.xlarge,4,16384,,,
c6a.4xlarge,16,32768,,,
m5n.4xlarge,16,65536,,,
m5dn.metal,96,393216,,,
z1d.12xlarge,48,393216,,,
c5ad.2xlarge,8,16384,,,
r5.8xlarge,32,262144,,,
r5ad.16xlarge,64,524288,,,
a1.2xlarge,8,16384,,,
r6in.4xlarge,16,131072,,,
m5zn.metal,48,196608,,,
m6i.32xlarge,128,524288,,,
c6a.xlarge,4,8192,,,
x2gd.large,2,32768,,,
m5ad.xlarge,4,16384,,,
r5dn.16xlarge,64,524288,,,
i4i.large,2,16384,,,
c6id.metal,128,262144,,,
r6i.16xlarge,64,524288,,,
c5.9xlarge,36,73728,,,
u-6tb1.112xlarge,448,6291456,,,
m5.4xlarge,16,65536,,,
r4.2xlarge,8,62464,,,
c5a.16xlarge,64,131072,,,
is4gen.2xlarge,8,49152,,,
c5.large,2,4096,,,
x2idn.16xlarge,64,1048576,,,
t3a.large,2,8192,,,
i3.xlarge,4,31232,,,
m6id.16xlarge,64,262144,,,
r5ad.2xlarge,8,65536,,,
r7g.8xlarge,32,262144,,,
z1d.metal,48,393216,,,
c6id.32xlarge,128,262144,,,
d2.4xlarge,16,124928,,,
r6a.24xlarge,96,786432,,,
m5.2xlarge,8,32768,,,
r5n.8xlarge,32,262144,,,
r6a.large,2,16384,,,
m5.16xlarge,64,262144,,,
m5a.large,2,8192,,,
i3en.large,2,16384,,,
r6a.16xlarge,64,524288,,,
r5a.24xlarge,96,786432,,,
m6idn.8xlarge,32,131072,,,
c5.2xlarge,8,16384,,,
r6id.metal,128,1048576,,,
x2iedn.24xlarge,96,3145728,,,
r5ad.xlarge,4,32768,,,
m6i.xlarge,4,16384,,,
d3.4xlarge,16,131072,,,
z1d.6xlarge,24,196608,,,
i3.8xlarge,32,249856,,,
m5d.12xlarge,48,196608,,,
g4ad.16xlarge,64,262144,Radeon Pro V520,4.0,8192.0
c6gn.large,2,4096,,,
m4.10xlarge,40,163840,,,
t3.small,2,2048,,,
r6id.8xlarge,32,262144,,,
c6g.4xlarge,16,32768,,,
r5d.metal,96,786432,,,
m7g.2xlarge,8,32768,,,
c5ad.large,2,4096,,,
r5ad.4xlarge,16,131072,,,
m6id.4xlarge,16,65536,,,
i4i.32xlarge,128,1048576,,,
m5zn.xlarge,4,16384,,,
i3.16xlarge,64,499712,,,
p3.16xlarge,64,499712,V100,8.0,16384.0
is4gen.large,2,12288,,,
m5dn.16xlarge,64,262144,,,
r5.2xlarge,8,65536,,,
x2iedn.16xlarge,64,2097152,,,
r4.large,2,15616,,,
r6idn.metal,128,1048576,,,
m5.large,2,8192,,,
c7g.large,2,4096,,,
z1d.large,2,16384,,,
r6g.xlarge,4,32768,,,
g3s.xlarge,4,31232,M60,1.0,8192.0
m7g.metal,64,262144,,,
r5n.xlarge,4,32768,,,
m6in.xlarge,4,16384,,,
c5ad.8xlarge,32,65536,,,
c6in.4xlarge,16,32768,,,
im4gn.16xlarge,64,262144,,,
c6a.2xlarge,8,16384,,,
m5ad.16xlarge,64,262144,,,
m6a.24xlarge,96,393216,,,
r6i.metal,128,1048576,,,
inf1.24xlarge,96,196608,,,
r6idn.32xlarge,128,1048576,,,
i4i.xlarge,4,32768,,,
im4gn.large,2,8192,,,
c6gn.8xlarge,32,65536,,,
c5d.xlarge,4,8192,,,
c6id.12xlarge,48,98304,,,
x2idn.32xlarge,128,2097152,,,
m5n.xlarge,4,16384,,,
r5a.8xlarge,32,262144,,,
r6in.16xlarge,64,524288,,,
a1.4xlarge,16,32768,,,
c7g.12xlarge,48,98304,,,
m6gd.8xlarge,32,131072,,,
r5.12xlarge,48,393216,,,
c6in.32xlarge,128,262144,,,
m7g.medium,1,4096,,,
m5dn.24xlarge,96,393216,,,
c6g.medium,1,2048,,,
c5a.8xlarge,32,65536,,,
hpc6a.48xlarge,96,393216,,,
r6gd.16xlarge,64,524288,,,
m5n.2xlarge,8,32768,,,
m5d.2xlarge,8,32768,,,
c6gn.2xlarge,8,16384,,,
g4dn.16xlarge,64,262144,T4,1.0,16384.0
c6i.metal,128,262144,,,
i3en.2xlarge,8,65536,,,
r5dn.2xlarge,8,65536,,,
m5dn.4xlarge,16,65536,,,
c6gd.2xlarge,8,16384,,,
c6id.xlarge,4,8192,,,
r4.8xlarge,32,249856,,,
r5b.8xlarge,32,262144,,,
i3en.xlarge,4,32768,,,
c5d.metal,96,196608,,,
i2.8xlarge,32,249856,,,
m6idn.16xlarge,64,262144,,,
r7g.large,2,16384,,,
c6gd.medium,1,2048,,,
t2.xlarge,4,16384,,,
x1e.xlarge,4,124928,,,
m5n.24xlarge,96,393216,,,
im4gn.4xlarge,16,65536,,,
x2iedn.32xlarge,128,4194304,,,
x1.32xlarge,128,1998848,,,
g4ad.xlarge,4,16384,Radeon Pro V520,1.0,8192.0
c5.18xlarge,72,147456,,,
m6in.2xlarge,8,32768,,,
m5a.xlarge,4,16384,,,
r5dn.24xlarge,96,786432,,,
m6gd.large,2,8192,,,
c6gd.8xlarge,32,65536,,,
i3.4xlarge,16,124928,,,
m6id.8xlarge,32,131072,,,
m6a.12xlarge,48,196608,,,
r5n.large,2,16384,,,
r6idn.12xlarge,48,393216,,,
i4i.8xlarge,32,262144,,,
p2.16xlarge,64,749568,K80,16.0,12288.0
r4.4xlarge,16,124928,,,
c6i.12xlarge,48,98304,,,
m6g.medium,1,4096,,,
is4gen.medium,1,6144,,,
c6g.metal,64,131072,,,
c6gd.12xlarge,48,98304,,,
c6g.8xlarge,32,65536,,,
m6in.8xlarge,32,131072,,,
t3a.nano,2,512,,,
r7g.12xlarge,48,393216,,,
m6i.12xlarge,48,196608,,,
r6g.metal,64,524288,,,
c5d.9xlarge,36,73728,,,
p2.xlarge,4,62464,K80,1.0,12288.0
m6a.xlarge,4,16384,,,
r7g.16xlarge,64,524288,,,
z1d.3xlarge,12,98304,,,
c6id.4xlarge,16,32768,,,
r6i.2xlarge,8,65536,,,
c6gd.4xlarge,16,32768,,,
i3.metal,72,524288,,,
g4dn.2xlarge,8,32768,T4,1.0,16384.0
i3en.6xlarge,24,196608,,,
g4dn.8xlarge,32,131072,T4,1.0,16384.0
m6a.8xlarge,32,131072,,,
c6a.large,2,4096,,,
c5n.xlarge,4,10752,,,
r5dn.4xlarge,16,131072,,,
r6in.2xlarge,8,65536,,,
t3a.micro,2,1024,,,
m5a.12xlarge,48,196608,,,
c5a.large,2,4096,,,
r6i.8xlarge,32,262144,,,
m6g.2xlarge,8,32768,,,
m6a.32xlarge,128,524288,,,
d2.xlarge,4,31232,,,
m5a.24xlarge,96,393216,,,
c6in.metal,128,262144,,,
is4gen.8xlarge,32,196608,,,
p3.8xlarge,32,249856,V100,4.0,16384.0
c6id.2xlarge,8,16384,,,
m6id.24xlarge,96,393216,,,
r5d.12xlarge,48,393216,,,
m5d.4xlarge,16,65536,,,
t2.nano,1,512,,,
i3en.metal,96,786432,,,
r6g.2xlarge,8,65536,,,
t3a.xlarge,4,16384,,,
i3.2xlarge,8,62464,,,
r6i.large,2,16384,,,
x2iedn.8xlarge,32,1048576,,,
c6g.2xlarge,8,16384,,,
t2.small,1,2048,,,
m6gd.2xlarge,8,32768,,,
m6id.large,2,8192,,,
m6a.48xlarge,192,786432,,,
r6i.32xlarge,128,1048576,,,
r5n.metal,96,786432,,,
c6i.xlarge,4,8192,,,
c6gd.large,2,4096,,,
g4dn.4xlarge,16,65536,T4,1.0,16384.0
x1e.4xlarge,16,499712,,,
r6gd.12xlarge,48,393216,,,
m6i.2xlarge,8,32768,,,
r6in.xlarge,4,32768,,,
